	legnum
evenBo25.oddBo35	68071
evenBo33.oddBo23	14400
evenBo29.oddBo64	30617
evenBo32.oddBo43	87059
evenBo14.oddBo51	43981
evenBo45.oddBo65	23792
evenBo42.oddBo57	30516
evenBo8.oddBo64	96494
evenBo46.oddBo91	42648
evenBo38.oddBo74	24433
evenBo32.oddBo50	38848
evenBo32.oddBo59	102867
evenBo5.oddBo40	7233
evenBo46.oddBo63	79475
evenBo27.oddBo57	130485
evenBo28.oddBo21	15648
evenBo32.oddBo39	39939
evenBo29.oddBo57	192144
evenBo6.oddBo54	22470
evenBo45.oddBo38	33004
evenBo47.oddBo90	34997
evenBo28.oddBo5	30731
evenBo9.oddBo45	11490
evenBo12.oddBo62	78457
evenBo32.oddBo49	18059
evenBo19.oddBo75	40784
evenBo1.oddBo53	73961
evenBo36.oddBo74	60977
evenBo32.oddBo45	58507
evenBo8.oddBo69	61302
evenBo44.oddBo54	45517
evenBo39.oddBo39	14848
evenBo35.oddBo5	12636
evenBo33.oddBo65	62501
evenBo29.oddBo70	95791
evenBo27.oddBo41	33819
evenBo28.oddBo64	13450
evenBo27.oddBo75	41258
evenBo7.oddBo31	8690
evenBo46.oddBo93	44186
evenBo38.oddBo22	30584
evenBo39.oddBo27	5428
evenBo38.oddBo52	11628
evenBo37.oddBo33	52473
evenBo45.oddBo92	55502
evenBo28.oddBo38	36141
evenBo34.oddBo65	90791
evenBo29.oddBo60	24057
evenBo5.oddBo25	16572
evenBo35.oddBo35	107289
evenBo34.oddBo50	86221
evenBo15.oddBo68	30995
evenBo36.oddBo61	38028
evenBo40.oddBo59	145930
evenBo36.oddBo24	12579
evenBo37.oddBo71	39307
evenBo5.oddBo72	1027
evenBo47.oddBo81	35649
evenBo8.oddBo61	36226
evenBo42.oddBo72	88695
evenBo16.oddBo77	30595
evenBo39.oddBo42	46487
evenBo8.oddBo22	76085
evenBo43.oddBo9	2863
evenBo30.oddBo47	71184
evenBo29.oddBo78	28169
evenBo25.oddBo1	6682
evenBo11.oddBo72	42550
evenBo33.oddBo11	30307
evenBo24.oddBo54	89725
evenBo15.oddBo58	39006
evenBo33.oddBo36	21368
evenBo29.oddBo21	24080
evenBo40.oddBo46	59728
evenBo27.oddBo74	42523
evenBo7.oddBo52	15639
evenBo35.oddBo14	29157
evenBo45.oddBo61	79210
evenBo11.oddBo56	17535
evenBo28.oddBo77	17437
evenBo23.oddBo40	17116
evenBo25.oddBo59	21697
evenBo16.oddBo7	92393
evenBo48.oddBo62	25670
evenBo25.oddBo75	51779
evenBo38.oddBo46	89252
evenBo23.oddBo50	95584
evenBo33.oddBo89	6748
evenBo6.oddBo47	33090
evenBo2.oddBo56	15507
evenBo42.oddBo65	5096
evenBo34.oddBo66	10225
evenBo22.oddBo9	6581
evenBo42.oddBo33	35049
evenBo41.oddBo86	24443
evenBo16.oddBo30	6247
evenBo46.oddBo46	12973
evenBo34.oddBo80	20603
evenBo14.oddBo47	55091
evenBo39.oddBo40	31063
evenBo39.oddBo79	143159
evenBo21.oddBo43	33480
evenBo42.oddBo58	190045
evenBo10.oddBo22	68625
evenBo47.oddBo87	4439
