	legnum
evenBo39.oddBo61	31162
evenBo31.oddBo86	10514
evenBo37.oddBo68	37004
evenBo27.oddBo91	39163
evenBo34.oddBo17	16446
evenBo23.oddBo1	12915
evenBo19.oddBo12	41265
evenBo5.oddBo62	25349
evenBo15.oddBo11	8932
evenBo15.oddBo76	12554
evenBo25.oddBo5	40243
evenBo18.oddBo4	6359
evenBo33.oddBo37	28198
evenBo7.oddBo44	30343
evenBo41.oddBo51	42828
evenBo39.oddBo66	63512
evenBo44.oddBo85	36993
evenBo19.oddBo15	11372
evenBo31.oddBo29	22033
evenBo24.oddBo10	4795
evenBo2.oddBo25	35225
evenBo16.oddBo94	2677
evenBo45.oddBo73	44538
evenBo31.oddBo75	9448
evenBo39.oddBo87	18017
evenBo25.oddBo31	21752
evenBo6.oddBo45	8411
evenBo46.oddBo83	46539
evenBo42.oddBo67	45708
evenBo16.oddBo39	46013
evenBo37.oddBo64	45959
evenBo26.oddBo52	15214
evenBo32.oddBo6	9377
evenBo25.oddBo29	28952
evenBo14.oddBo63	206887
evenBo33.oddBo51	151506
evenBo38.oddBo91	9387
evenBo29.oddBo79	18717
evenBo34.oddBo67	18245
evenBo34.oddBo18	18171
evenBo1.oddBo54	46450
evenBo42.oddBo37	26948
evenBo7.oddBo56	38600
evenBo46.oddBo81	17640
evenBo36.oddBo64	68887
evenBo29.oddBo1	10104
evenBo37.oddBo62	30436
evenBo15.oddBo51	46250
evenBo28.oddBo48	54967
evenBo22.oddBo46	19280
evenBo29.oddBo7	9088
evenBo2.oddBo83	1816
evenBo37.oddBo18	2588
evenBo49.oddBo93	1351
evenBo42.oddBo71	77351
evenBo33.oddBo34	57861
evenBo29.oddBo44	27619
evenBo28.oddBo31	27429
evenBo36.oddBo91	25921
evenBo33.oddBo62	70050
evenBo15.oddBo62	67233
evenBo50.oddBo41	725
evenBo35.oddBo60	105345
evenBo21.oddBo76	20030
evenBo20.oddBo81	19072
evenBo37.oddBo32	42295
evenBo33.oddBo61	70295
evenBo28.oddBo91	20648
evenBo40.oddBo68	52120
evenBo30.oddBo21	23522
evenBo44.oddBo14	1836
evenBo28.oddBo30	15874
evenBo23.oddBo4	25550
evenBo28.oddBo66	45082
evenBo41.oddBo55	50778
evenBo31.oddBo66	42378
evenBo21.oddBo42	22933
evenBo30.oddBo37	73785
evenBo19.oddBo6	29444
evenBo20.oddBo58	15176
evenBo45.oddBo80	11062
evenBo28.oddBo37	24048
evenBo34.oddBo58	89381
evenBo15.oddBo72	38422
evenBo28.oddBo72	15502
evenBo38.oddBo19	49215
evenBo14.oddBo39	30982
evenBo49.oddBo65	6478
evenBo26.oddBo2	10204
evenBo26.oddBo71	23833
evenBo45.oddBo45	4388
evenBo11.oddBo17	54562
evenBo36.oddBo85	84566
evenBo10.oddBo71	76844
evenBo35.oddBo32	25405
evenBo40.oddBo9	30465
evenBo40.oddBo53	14379
evenBo32.oddBo80	24686
evenBo36.oddBo46	81754
evenBo46.oddBo73	39486
evenBo47.oddBo71	4267
evenBo30.oddBo43	30076
evenBo48.oddBo9	1026
evenBo20.oddBo87	9775
evenBo33.oddBo76	34739
evenBo35.oddBo85	47314
evenBo36.oddBo45	37047
evenBo2.oddBo51	6581
evenBo2.oddBo53	31716
evenBo28.oddBo82	25797
evenBo7.oddBo39	30908
evenBo22.oddBo3	24407
evenBo39.oddBo72	37918
evenBo29.oddBo83	19490
evenBo35.oddBo34	41388
evenBo26.oddBo84	30065
evenBo25.oddBo46	37593
evenBo18.oddBo70	20743
evenBo13.oddBo29	1466
evenBo47.oddBo62	29045
evenBo16.oddBo32	22314
evenBo5.oddBo43	101844
evenBo7.oddBo68	23231
evenBo35.oddBo89	2801
evenBo24.oddBo69	29550
evenBo11.oddBo76	36641
evenBo39.oddBo48	43825
evenBo48.oddBo58	34755
evenBo28.oddBo51	35453
evenBo24.oddBo9	10173
evenBo45.oddBo12	19681
evenBo31.oddBo79	29230
evenBo23.oddBo80	27419
evenBo43.oddBo11	5675
evenBo7.oddBo32	8896
evenBo16.oddBo13	11421
evenBo40.oddBo30	5574
evenBo38.oddBo85	107451
evenBo49.oddBo67	15309
evenBo32.oddBo11	51947
evenBo11.oddBo61	18053
evenBo17.oddBo69	21740
evenBo13.oddBo57	26777
evenBo14.oddBo67	45509
evenBo16.oddBo68	39336
evenBo31.oddBo83	32890
evenBo16.oddBo60	11953
evenBo1.oddBo38	1833
evenBo32.oddBo44	76902
evenBo37.oddBo81	47571
evenBo7.oddBo78	824
evenBo29.oddBo67	92825
evenBo41.oddBo79	69360
evenBo35.oddBo21	25247
evenBo31.oddBo20	24631
evenBo47.oddBo75	18683
evenBo48.oddBo81	48233
evenBo10.oddBo46	25650
evenBo35.oddBo45	59196
evenBo28.oddBo46	18416
evenBo47.oddBo43	19445
evenBo47.oddBo85	16523
evenBo35.oddBo38	54847
evenBo50.oddBo78	40618
evenBo22.oddBo44	22381
evenBo36.oddBo11	59736
evenBo31.oddBo34	89344
evenBo23.oddBo61	20426
evenBo10.oddBo51	27538
evenBo39.oddBo60	27542
evenBo41.oddBo31	10221
evenBo10.oddBo56	30384
evenBo18.oddBo38	88941
evenBo41.oddBo47	47800
evenBo33.oddBo91	7629
evenBo11.oddBo31	2375
evenBo11.oddBo71	65271
evenBo36.oddBo86	14180
evenBo24.oddBo73	26717
evenBo25.oddBo67	46436
evenBo6.oddBo59	46521
evenBo17.oddBo41	23742
evenBo3.oddBo60	9532
evenBo19.oddBo51	107919
evenBo43.oddBo92	44953
evenBo28.oddBo7	14605
evenBo43.oddBo30	42444
evenBo44.oddBo87	8895
evenBo33.oddBo85	46931
evenBo38.oddBo92	42231
evenBo19.oddBo85	31734
evenBo26.oddBo58	65864
evenBo22.oddBo54	34267
evenBo41.oddBo82	73203
evenBo22.oddBo51	104903
evenBo23.oddBo77	19885
evenBo31.oddBo46	11871
evenBo22.oddBo78	25583
evenBo7.oddBo20	20773
evenBo17.oddBo8	28208
evenBo46.oddBo35	25054
evenBo26.oddBo49	51036
evenBo27.oddBo43	28943
evenBo17.oddBo13	11513
evenBo10.oddBo48	90434
evenBo26.oddBo82	12542
evenBo49.oddBo69	17801
evenBo39.oddBo20	53256
evenBo15.oddBo32	23826
evenBo43.oddBo91	22652
evenBo37.oddBo43	89464
evenBo18.oddBo53	29189
evenBo13.oddBo50	19507
evenBo25.oddBo58	49084
evenBo36.oddBo15	40879
evenBo50.oddBo74	17971
evenBo32.oddBo23	9608
evenBo46.oddBo71	19069
evenBo30.oddBo83	27926
evenBo15.oddBo28	4134
evenBo6.oddBo63	55341
evenBo26.oddBo73	77812
evenBo17.oddBo52	19253
evenBo30.oddBo75	18398
evenBo36.oddBo63	67896
evenBo11.oddBo54	18865
evenBo30.oddBo38	133753
evenBo31.oddBo31	20757
evenBo43.oddBo46	17466
evenBo26.oddBo46	12198
evenBo19.oddBo47	22143
evenBo49.oddBo31	2814
evenBo16.oddBo47	29958
evenBo24.oddBo29	9216
evenBo24.oddBo30	7864
evenBo18.oddBo77	16803
evenBo25.oddBo20	6661
evenBo11.oddBo75	131525
evenBo36.oddBo78	26466
evenBo23.oddBo52	59412
evenBo12.oddBo34	9595
evenBo22.oddBo76	5946
evenBo35.oddBo41	56479
evenBo4.oddBo30	5880
evenBo16.oddBo45	26422
evenBo27.oddBo76	63425
evenBo24.oddBo66	19526
evenBo30.oddBo7	13681
evenBo42.oddBo46	51420
evenBo16.oddBo67	145123
evenBo45.oddBo48	13857
evenBo47.oddBo22	1262
evenBo18.oddBo35	26580
evenBo35.oddBo26	2047
evenBo47.oddBo64	34450
evenBo21.oddBo45	22074
evenBo31.oddBo22	26326
evenBo47.oddBo46	22365
evenBo38.oddBo83	129312
evenBo19.oddBo36	6488
evenBo23.oddBo3	41365
evenBo33.oddBo17	6289
evenBo38.oddBo40	46600
evenBo32.oddBo18	14362
evenBo23.oddBo89	21739
evenBo25.oddBo55	29795
evenBo39.oddBo22	10934
evenBo50.oddBo68	19989
evenBo32.oddBo14	11295
evenBo20.oddBo41	15141
evenBo34.oddBo63	82580
evenBo35.oddBo59	312570
evenBo30.oddBo6	18789
evenBo42.oddBo38	48473
evenBo32.oddBo41	82698
evenBo26.oddBo30	65825
evenBo23.oddBo73	9588
evenBo40.oddBo20	8695
evenBo48.oddBo64	25111
evenBo7.oddBo42	32774
evenBo13.oddBo12	2013
evenBo36.oddBo22	19651
evenBo13.oddBo36	13446
evenBo19.oddBo26	35379
evenBo34.oddBo22	18136
evenBo16.oddBo57	36918
evenBo18.oddBo29	9998
evenBo19.oddBo42	7775
evenBo32.oddBo30	16015
evenBo21.oddBo87	9522
evenBo12.oddBo76	73728
evenBo50.oddBo64	20909
evenBo40.oddBo76	55180
evenBo3.oddBo34	35182
evenBo40.oddBo47	38177
evenBo17.oddBo57	28240
evenBo16.oddBo9	14086
evenBo12.oddBo37	19671
evenBo12.oddBo39	73318
evenBo43.oddBo51	4685
evenBo42.oddBo91	22025
evenBo9.oddBo53	70916
evenBo24.oddBo80	50572
evenBo34.oddBo39	55999
evenBo28.oddBo59	2823
evenBo16.oddBo75	46579
evenBo3.oddBo58	44244
evenBo24.oddBo1	28022
evenBo28.oddBo41	36509
evenBo27.oddBo69	58487
evenBo19.oddBo58	34306
evenBo42.oddBo51	14636
evenBo12.oddBo35	11834
evenBo37.oddBo93	40340
evenBo33.oddBo39	25677
evenBo34.oddBo79	22682
evenBo16.oddBo63	57639
evenBo28.oddBo65	49204
evenBo24.oddBo82	12646
evenBo42.oddBo52	41462
evenBo45.oddBo77	6729
evenBo44.oddBo65	7144
evenBo18.oddBo36	15077
evenBo37.oddBo15	20605
evenBo33.oddBo14	29980
evenBo42.oddBo82	25579
evenBo30.oddBo82	30890
evenBo10.oddBo58	14640
evenBo14.oddBo79	70416
evenBo40.oddBo70	43100
evenBo29.oddBo77	35870
evenBo37.oddBo60	68593
evenBo26.oddBo43	23106
evenBo34.oddBo43	72386
evenBo26.oddBo78	16973
evenBo15.oddBo53	68556
evenBo31.oddBo41	66445
evenBo44.oddBo13	15971
evenBo14.oddBo77	10532
evenBo11.oddBo16	65962
evenBo34.oddBo36	51867
evenBo11.oddBo26	6886
evenBo40.oddBo73	42853
evenBo6.oddBo19	9714
evenBo20.oddBo45	10229
evenBo13.oddBo30	14844
evenBo12.oddBo63	36616
evenBo45.oddBo1	1091
evenBo46.oddBo36	25666
evenBo40.oddBo41	59134
evenBo43.oddBo37	25615
evenBo21.oddBo23	24082
evenBo23.oddBo85	48172
evenBo8.oddBo26	14062
evenBo38.oddBo80	83983
evenBo23.oddBo43	43775
evenBo31.oddBo16	21718
evenBo40.oddBo64	72139
evenBo9.oddBo22	41897
evenBo25.oddBo62	10340
evenBo31.oddBo78	34464
evenBo40.oddBo63	82126
evenBo25.oddBo34	90902
evenBo26.oddBo70	40307
evenBo48.oddBo36	9188
evenBo11.oddBo59	10331
evenBo45.oddBo59	18798
evenBo19.oddBo77	31341
evenBo33.oddBo38	49689
evenBo11.oddBo12	11991
evenBo21.oddBo57	27606
evenBo36.oddBo52	20048
evenBo24.oddBo50	17028
evenBo32.oddBo73	24846
evenBo25.oddBo36	39116
evenBo14.oddBo78	9975
evenBo17.oddBo15	18296
evenBo7.oddBo40	12506
evenBo47.oddBo83	21502
evenBo21.oddBo36	13467
evenBo43.oddBo43	15956
evenBo7.oddBo6	1015
evenBo21.oddBo46	10979
evenBo28.oddBo90	1884
evenBo34.oddBo77	44936
evenBo31.oddBo61	55205
evenBo36.oddBo58	118546
evenBo12.oddBo77	52117
evenBo30.oddBo57	26024
evenBo14.oddBo65	33709
evenBo14.oddBo33	17671
evenBo21.oddBo5	10693
evenBo30.oddBo56	71168
evenBo37.oddBo78	17225
evenBo41.oddBo52	44014
evenBo31.oddBo39	32096
evenBo46.oddBo70	14004
evenBo9.oddBo72	33311
evenBo28.oddBo71	52940
evenBo16.oddBo31	2911
evenBo17.oddBo79	13106
evenBo42.oddBo49	14499
evenBo42.oddBo77	39698
evenBo11.oddBo41	17742
evenBo28.oddBo49	13458
evenBo29.oddBo42	12443
evenBo10.oddBo49	6949
evenBo36.oddBo60	58343
evenBo39.oddBo45	55111
evenBo36.oddBo62	79011
evenBo34.oddBo8	23727
evenBo23.oddBo68	47485
evenBo44.oddBo89	4631
evenBo26.oddBo74	44468
evenBo18.oddBo74	17020
evenBo17.oddBo16	21266
evenBo33.oddBo45	86857
evenBo35.oddBo65	45688
evenBo5.oddBo63	73510
evenBo22.oddBo58	10037
evenBo37.oddBo67	74753
evenBo32.oddBo87	14621
evenBo35.oddBo22	31048
evenBo41.oddBo30	29031
evenBo11.oddBo46	7625
evenBo41.oddBo73	45893
evenBo13.oddBo47	27387
evenBo27.oddBo62	10442
evenBo27.oddBo89	26112
evenBo32.oddBo88	1918
evenBo15.oddBo34	13608
evenBo24.oddBo32	11167
evenBo7.oddBo23	28475
evenBo30.oddBo34	42762
evenBo31.oddBo51	63747
evenBo21.oddBo80	16973
evenBo32.oddBo29	42892
evenBo29.oddBo38	36292
evenBo47.oddBo31	1769
evenBo21.oddBo48	28427
evenBo9.oddBo23	65929
evenBo31.oddBo30	31065
evenBo41.oddBo37	47022
evenBo48.oddBo10	2217
evenBo19.oddBo17	9451
evenBo29.oddBo6	16674
evenBo40.oddBo45	32863
evenBo38.oddBo45	72652
evenBo42.oddBo93	36452
evenBo40.oddBo44	35878
evenBo22.oddBo56	26091
evenBo42.oddBo68	14868
evenBo17.oddBo46	18106
evenBo43.oddBo77	22489
evenBo44.oddBo34	5197
evenBo5.oddBo28	7053
evenBo15.oddBo71	109696
evenBo17.oddBo12	29671
evenBo27.oddBo4	14083
evenBo10.oddBo73	42403
evenBo28.oddBo81	7840
evenBo38.oddBo94	25109
evenBo34.oddBo61	27777
evenBo9.oddBo6	1071
evenBo23.oddBo82	9061
evenBo43.oddBo44	19676
evenBo31.oddBo28	18153
evenBo27.oddBo42	19638
evenBo27.oddBo51	15249
evenBo46.oddBo84	20036
evenBo43.oddBo69	64169
evenBo28.oddBo75	17932
evenBo21.oddBo33	23438
evenBo34.oddBo74	93829
evenBo24.oddBo70	22668
evenBo3.oddBo56	36957
evenBo33.oddBo94	4371
evenBo33.oddBo29	22580
evenBo23.oddBo54	72890
evenBo7.oddBo16	22532
evenBo9.oddBo69	39208
evenBo30.oddBo26	8983
evenBo12.oddBo58	47679
evenBo16.oddBo46	11100
evenBo36.oddBo33	31513
evenBo20.oddBo83	11948
evenBo42.oddBo47	63062
evenBo12.oddBo75	85605
evenBo27.oddBo44	17362
evenBo27.oddBo45	10980
evenBo17.oddBo33	35963
evenBo22.oddBo35	8203
evenBo1.oddBo11	1174
evenBo20.oddBo47	10861
evenBo13.oddBo51	10036
evenBo26.oddBo65	12141
evenBo43.oddBo75	3990
evenBo32.oddBo42	37456
evenBo9.oddBo71	48862
evenBo35.oddBo49	67759
evenBo28.oddBo33	10410
evenBo41.oddBo22	1553
evenBo14.oddBo59	49018
evenBo26.oddBo75	45389
evenBo18.oddBo84	15401
evenBo35.oddBo68	14114
evenBo38.oddBo38	29034
evenBo21.oddBo79	24565
evenBo45.oddBo69	71912
evenBo13.oddBo78	45519
evenBo13.oddBo45	10316
evenBo26.oddBo53	58071
evenBo8.oddBo50	34479
evenBo19.oddBo16	49564
evenBo14.oddBo71	32249
evenBo25.oddBo51	28277
evenBo31.oddBo17	10933
evenBo45.oddBo34	9404
evenBo17.oddBo72	34674
evenBo27.oddBo35	78640
evenBo40.oddBo62	60367
evenBo23.oddBo84	13487
evenBo18.oddBo73	23935
evenBo26.oddBo81	33390
evenBo49.oddBo77	14492
evenBo18.oddBo30	13989
evenBo32.oddBo77	63289
evenBo36.oddBo76	53039
evenBo3.oddBo79	403
evenBo22.oddBo15	1600
evenBo45.oddBo89	13997
evenBo17.oddBo67	55521
evenBo47.oddBo82	33413
evenBo13.oddBo48	10551
evenBo18.oddBo57	49757
evenBo8.oddBo60	37313
evenBo11.oddBo28	10689
evenBo16.oddBo5	6518
evenBo48.oddBo94	2084
evenBo24.oddBo37	29865
evenBo31.oddBo4	28011
evenBo36.oddBo77	51100
evenBo38.oddBo21	38742
evenBo50.oddBo76	38355
evenBo17.oddBo34	19894
evenBo6.oddBo50	20565
evenBo48.oddBo17	10554
evenBo36.oddBo32	40954
evenBo39.oddBo62	78569
evenBo9.oddBo68	49202
evenBo4.oddBo43	31728
evenBo41.oddBo38	22754
evenBo22.oddBo11	10166
evenBo10.oddBo28	3532
evenBo17.oddBo58	73231
evenBo37.oddBo45	35630
evenBo17.oddBo56	33246
evenBo29.oddBo35	39726
evenBo21.oddBo47	35394
evenBo46.oddBo75	20094
evenBo34.oddBo5	9507
evenBo7.oddBo75	2383
evenBo9.oddBo59	11489
evenBo5.oddBo60	43721
evenBo24.oddBo20	13102
evenBo31.oddBo48	52543
evenBo46.oddBo44	8462
evenBo3.oddBo28	1689
evenBo42.oddBo4	9200
evenBo29.oddBo24	12194
evenBo27.oddBo39	17938
evenBo13.oddBo19	1499
evenBo7.oddBo38	18812
evenBo34.oddBo23	16633
evenBo34.oddBo7	13796
evenBo4.oddBo1	2739
evenBo44.oddBo59	16658
evenBo36.oddBo38	48414
evenBo29.oddBo3	17121
evenBo30.oddBo78	28666
evenBo15.oddBo16	55897
evenBo6.oddBo67	1583
evenBo27.oddBo34	39135
evenBo14.oddBo41	18578
evenBo13.oddBo41	18356
evenBo13.oddBo61	39906
evenBo19.oddBo21	26277
evenBo7.oddBo57	36031
evenBo30.oddBo19	7255
evenBo33.oddBo72	12914
evenBo6.oddBo44	12990
evenBo37.oddBo90	4977
evenBo30.oddBo12	13007
evenBo29.oddBo80	43906
evenBo8.oddBo43	35873
evenBo38.oddBo43	74587
evenBo40.oddBo92	10552
evenBo30.oddBo32	25653
evenBo1.oddBo27	15126
evenBo26.oddBo37	25929
evenBo8.oddBo70	7951
evenBo12.oddBo33	24318
evenBo22.oddBo39	12520
evenBo15.oddBo33	7052
evenBo9.oddBo19	71280
evenBo27.oddBo90	40501
evenBo8.oddBo59	23670
evenBo12.oddBo74	52297
evenBo39.oddBo35	18454
evenBo17.oddBo84	6095
evenBo24.oddBo2	26097
evenBo29.oddBo19	17882
evenBo49.oddBo63	8467
evenBo26.oddBo88	17247
evenBo33.oddBo78	14702
evenBo31.oddBo19	33182
evenBo43.oddBo86	5053
evenBo30.oddBo52	4595
evenBo42.oddBo70	20060
evenBo20.oddBo12	13271
evenBo10.oddBo54	12309
evenBo28.oddBo84	22097
evenBo20.oddBo40	12441
evenBo9.oddBo61	6442
evenBo26.oddBo68	24918
evenBo23.oddBo59	24916
evenBo20.oddBo46	10767
evenBo9.oddBo75	2224
evenBo24.oddBo90	21024
evenBo35.oddBo47	97809
evenBo37.oddBo50	85506
evenBo24.oddBo65	10777
evenBo18.oddBo32	18976
evenBo13.oddBo67	16511
evenBo13.oddBo4	2060
evenBo41.oddBo77	100746
evenBo35.oddBo31	25072
evenBo9.oddBo33	7561
evenBo6.oddBo64	15245
evenBo36.oddBo29	6119
evenBo37.oddBo94	17225
evenBo16.oddBo29	3288
evenBo20.oddBo86	25867
evenBo42.oddBo83	80593
evenBo18.oddBo79	9002
evenBo33.oddBo44	93922
evenBo19.oddBo39	15073
evenBo45.oddBo13	24624
evenBo13.oddBo17	14815
evenBo38.oddBo70	34509
evenBo32.oddBo35	8282
evenBo38.oddBo44	58258
evenBo33.oddBo60	35016
evenBo39.oddBo93	32249
evenBo39.oddBo30	5001
evenBo38.oddBo15	5541
evenBo6.oddBo93	2609
evenBo39.oddBo74	6278
evenBo34.oddBo73	44926
evenBo27.oddBo31	25878
evenBo18.oddBo50	23829
evenBo36.oddBo83	32691
evenBo43.oddBo45	43275
evenBo25.oddBo69	23093
evenBo26.oddBo28	50067
evenBo26.oddBo11	4674
evenBo7.oddBo22	27084
evenBo30.oddBo92	8240
evenBo17.oddBo3	15148
evenBo16.oddBo1	2583
evenBo42.oddBo12	10494
evenBo25.oddBo77	26938
evenBo20.oddBo76	16600
evenBo19.oddBo93	390
evenBo48.oddBo16	8312
evenBo42.oddBo62	32662
evenBo49.oddBo17	5338
evenBo17.oddBo47	43544
evenBo30.oddBo59	41908
evenBo39.oddBo65	40140
evenBo3.oddBo23	14084
evenBo14.oddBo90	3028
evenBo46.oddBo13	13624
evenBo23.oddBo45	36775
evenBo45.oddBo57	16121
evenBo36.oddBo82	63254
evenBo21.oddBo83	31177
evenBo40.oddBo66	26970
evenBo7.oddBo30	7810
evenBo40.oddBo39	20689
evenBo41.oddBo14	19087
evenBo28.oddBo60	11263
evenBo44.oddBo38	6585
evenBo45.oddBo72	24425
evenBo34.oddBo33	50017
evenBo11.oddBo45	11392
evenBo44.oddBo44	9750
evenBo36.oddBo44	59375
evenBo28.oddBo74	33432
evenBo12.oddBo43	13223
evenBo4.oddBo31	12834
evenBo25.oddBo64	5769
evenBo22.oddBo2	4691
evenBo49.oddBo34	3038
evenBo44.oddBo49	5380
evenBo47.oddBo61	10630
evenBo47.oddBo44	32360
evenBo16.oddBo15	28981
evenBo32.oddBo83	17546
evenBo37.oddBo49	50291
evenBo19.oddBo48	77568
evenBo13.oddBo42	6297
evenBo26.oddBo27	30225
evenBo23.oddBo37	46467
evenBo46.oddBo61	16338
evenBo15.oddBo60	10296
evenBo32.oddBo40	40094
evenBo29.oddBo8	9159
evenBo29.oddBo49	28629
evenBo13.oddBo77	46482
evenBo15.oddBo12	12442
evenBo8.oddBo23	45309
evenBo43.oddBo57	8532
evenBo23.oddBo66	108170
evenBo24.oddBo33	21034
evenBo40.oddBo84	27148
evenBo41.oddBo27	15334
evenBo20.oddBo43	16694
evenBo21.oddBo52	7169
evenBo16.oddBo17	11180
evenBo20.oddBo59	39407
evenBo33.oddBo75	35528
evenBo36.oddBo13	24478
evenBo47.oddBo80	32876
evenBo25.oddBo2	13711
evenBo10.oddBo47	11599
evenBo13.oddBo79	21814
evenBo14.oddBo49	39364
evenBo44.oddBo46	11161
evenBo28.oddBo53	34128
evenBo31.oddBo12	9661
evenBo16.oddBo12	22571
evenBo50.oddBo28	20155
evenBo40.oddBo43	40569
evenBo50.oddBo18	16493
evenBo5.oddBo31	1279
evenBo30.oddBo14	19264
evenBo34.oddBo70	24098
evenBo15.oddBo9	34704
evenBo43.oddBo56	7628
evenBo14.oddBo68	27181
evenBo18.oddBo44	59224
evenBo29.oddBo29	21201
evenBo38.oddBo76	15951
evenBo8.oddBo31	6390
evenBo24.oddBo58	7365
evenBo18.oddBo28	3598
evenBo43.oddBo33	15200
evenBo11.oddBo38	36545
evenBo20.oddBo42	20730
evenBo22.oddBo57	13293
evenBo31.oddBo50	36088
evenBo14.oddBo57	32055
evenBo36.oddBo14	20813
evenBo42.oddBo39	17629
evenBo47.oddBo66	76005
evenBo45.oddBo68	43674
evenBo26.oddBo55	62570
evenBo42.oddBo32	9165
evenBo32.oddBo22	12825
evenBo20.oddBo80	22094
evenBo33.oddBo31	14243
evenBo31.oddBo11	8396
evenBo19.oddBo74	33979
evenBo10.oddBo16	5823
evenBo50.oddBo55	1910
evenBo29.oddBo47	108840
evenBo32.oddBo48	33963
evenBo44.oddBo52	19575
evenBo49.oddBo45	3399
evenBo18.oddBo17	6568
evenBo33.oddBo13	4604
evenBo33.oddBo74	26021
evenBo23.oddBo6	47329
evenBo19.oddBo49	109558
evenBo33.oddBo30	52200
evenBo42.oddBo74	35979
evenBo4.oddBo12	1153
evenBo26.oddBo34	57239
evenBo43.oddBo94	1009
evenBo34.oddBo42	33097
evenBo34.oddBo64	40003
evenBo28.oddBo73	14314
evenBo27.oddBo50	46387
evenBo40.oddBo91	8943
evenBo40.oddBo67	82458
evenBo25.oddBo48	40031
evenBo30.oddBo18	22318
evenBo18.oddBo42	9553
evenBo24.oddBo77	39435
evenBo29.oddBo23	21642
evenBo45.oddBo20	1451
evenBo36.oddBo48	64153
evenBo18.oddBo52	22228
evenBo13.oddBo74	9525
evenBo9.oddBo83	1330
evenBo10.oddBo64	96773
evenBo24.oddBo4	31451
evenBo19.oddBo10	47033
evenBo30.oddBo74	9266
evenBo13.oddBo35	6874
evenBo35.oddBo25	11031
evenBo36.oddBo8	16548
evenBo14.oddBo28	4722
evenBo38.oddBo72	38046
evenBo12.oddBo44	5787
evenBo7.oddBo94	526
evenBo31.oddBo56	1443
evenBo23.oddBo33	36708
evenBo16.oddBo51	31505
evenBo38.oddBo73	47669
evenBo39.oddBo91	11189
evenBo23.oddBo81	19124
evenBo28.oddBo52	42891
evenBo31.oddBo21	38565
evenBo28.oddBo32	28763
evenBo42.oddBo6	4198
evenBo14.oddBo18	11165
evenBo43.oddBo62	17346
evenBo27.oddBo78	18893
evenBo44.oddBo70	18835
evenBo30.oddBo3	19561
evenBo18.oddBo41	12802
evenBo27.oddBo48	49380
evenBo30.oddBo44	35534
evenBo17.oddBo49	20388
evenBo41.oddBo80	20485
evenBo17.oddBo39	75949
evenBo21.oddBo16	15325
evenBo8.oddBo20	10940
evenBo45.oddBo58	18749
evenBo27.oddBo77	7724
evenBo44.oddBo86	2876
evenBo6.oddBo41	6122
evenBo49.oddBo19	4058
evenBo41.oddBo50	18681
evenBo21.oddBo15	6633
evenBo36.oddBo10	41574
evenBo12.oddBo48	11859
evenBo39.oddBo37	29847
evenBo22.oddBo82	27159
evenBo16.oddBo34	47688
evenBo4.oddBo59	35353
evenBo9.oddBo38	42189
evenBo39.oddBo77	28433
evenBo26.oddBo48	23923
evenBo50.oddBo22	12938
evenBo26.oddBo26	24478
evenBo44.oddBo76	16881
evenBo22.oddBo77	9759
evenBo15.oddBo41	10316
evenBo14.oddBo44	9836
evenBo22.oddBo25	8667
evenBo25.oddBo63	44742
evenBo22.oddBo41	51678
evenBo21.oddBo49	12362
evenBo16.oddBo54	30655
evenBo20.oddBo30	2673
evenBo39.oddBo50	15536
evenBo1.oddBo45	9166
evenBo43.oddBo72	28124
evenBo42.oddBo84	10952
evenBo47.oddBo86	20471
evenBo9.oddBo50	22489
evenBo49.oddBo30	2344
evenBo8.oddBo65	104793
evenBo21.oddBo54	12943
evenBo41.oddBo15	6374
evenBo43.oddBo93	27534
evenBo30.oddBo64	51126
evenBo12.oddBo25	1649
evenBo11.oddBo36	7677
evenBo25.oddBo47	36011
evenBo13.oddBo59	44811
evenBo18.oddBo20	13950
evenBo39.oddBo84	41686
evenBo29.oddBo18	15128
evenBo29.oddBo90	1914
evenBo42.oddBo80	25190
evenBo50.oddBo67	7787
evenBo34.oddBo94	9531
evenBo28.oddBo26	6203
evenBo42.oddBo86	45430
evenBo46.oddBo42	14126
evenBo18.oddBo27	7595
evenBo30.oddBo49	16881
evenBo35.oddBo79	10525
evenBo37.oddBo36	17413
evenBo11.oddBo65	53468
evenBo45.oddBo35	18812
evenBo35.oddBo40	54924
evenBo45.oddBo5	2652
evenBo44.oddBo74	13658
evenBo16.oddBo64	47684
evenBo12.oddBo13	10095
evenBo32.oddBo90	2999
evenBo25.oddBo83	28956
evenBo26.oddBo79	12180
evenBo30.oddBo63	81394
evenBo20.oddBo56	8922
evenBo48.oddBo92	4930
evenBo35.oddBo44	31395
evenBo36.oddBo37	48277
evenBo28.oddBo8	8057
evenBo13.oddBo63	17673
evenBo6.oddBo33	13197
evenBo28.oddBo43	24957
evenBo26.oddBo35	49350
evenBo42.oddBo44	39696
evenBo20.oddBo78	15698
evenBo45.oddBo56	66487
evenBo47.oddBo60	43724
evenBo43.oddBo41	11309
evenBo45.oddBo83	17035
evenBo42.oddBo54	41184
evenBo34.oddBo29	7326
evenBo6.oddBo69	806
evenBo48.oddBo83	4596
evenBo39.oddBo64	31347
evenBo20.oddBo77	8417
evenBo10.oddBo26	2732
evenBo21.oddBo74	14246
evenBo43.oddBo82	35087
