spot_id	x	y	clusternum
evenBo48.oddBo63	2	33	1031
evenBo38.oddBo58	12	38	2391
evenBo8.oddBo15	42	81	175
evenBo37.oddBo63	13	33	2009
evenBo33.oddBo59	17	37	2160
evenBo33.oddBo48	17	48	1115
evenBo46.oddBo40	4	56	438
evenBo25.oddBo4	25	92	1033
evenBo28.oddBo45	22	51	730
evenBo12.oddBo38	38	58	628
evenBo16.oddBo58	34	38	1326
evenBo34.oddBo37	16	59	1132
evenBo49.oddBo58	1	38	148
evenBo31.oddBo14	19	82	737
evenBo22.oddBo28	28	68	554
evenBo19.oddBo20	31	76	1013
evenBo27.oddBo56	23	40	986
evenBo11.oddBo70	39	26	389
evenBo28.oddBo83	22	13	795
evenBo41.oddBo18	9	78	207
evenBo43.oddBo31	7	65	343
evenBo12.oddBo16	38	80	993
evenBo39.oddBo67	11	29	1379
evenBo44.oddBo92	6	4	553
evenBo2.oddBo50	48	46	215
evenBo9.oddBo62	41	34	1644
evenBo32.oddBo72	18	24	1087
evenBo24.oddBo31	26	65	776
evenBo37.oddBo13	13	83	434
evenBo42.oddBo3	8	93	223
evenBo11.oddBo33	39	63	310
evenBo19.oddBo57	31	39	811
evenBo5.oddBo53	45	43	834
evenBo26.oddBo77	24	19	545
evenBo11.oddBo69	39	27	580
evenBo20.oddBo53	30	43	585
evenBo14.oddBo11	36	85	1087
evenBo36.oddBo40	14	56	973
evenBo43.oddBo70	7	26	389
evenBo50.oddBo80	0	16	593
evenBo25.oddBo35	25	61	1090
evenBo33.oddBo23	17	73	613
evenBo29.oddBo64	21	32	1256
evenBo32.oddBo43	18	53	1248
evenBo14.oddBo51	36	45	674
evenBo45.oddBo65	5	31	685
evenBo42.oddBo57	8	39	587
evenBo8.oddBo64	42	32	771
evenBo46.oddBo91	4	5	856
evenBo38.oddBo74	12	22	1036
evenBo32.oddBo50	18	46	872
evenBo32.oddBo59	18	37	1634
evenBo5.oddBo40	45	56	219
evenBo46.oddBo63	4	33	832
evenBo27.oddBo57	23	39	1291
evenBo28.oddBo21	22	75	458
evenBo32.oddBo39	18	57	845
evenBo29.oddBo57	21	39	1661
evenBo6.oddBo54	44	42	635
evenBo45.oddBo38	5	58	717
evenBo47.oddBo90	3	6	790
evenBo28.oddBo5	22	91	1315
evenBo9.oddBo45	41	51	444
evenBo12.oddBo62	38	34	993
evenBo32.oddBo49	18	47	726
evenBo19.oddBo75	31	21	976
evenBo1.oddBo53	49	43	723
evenBo36.oddBo74	14	22	1415
evenBo32.oddBo45	18	51	948
evenBo8.oddBo69	42	27	562
evenBo44.oddBo54	6	42	636
evenBo39.oddBo39	11	57	666
evenBo35.oddBo5	15	91	440
evenBo33.oddBo65	17	31	1314
evenBo29.oddBo70	21	26	1344
evenBo27.oddBo41	23	55	891
evenBo28.oddBo64	22	32	741
evenBo27.oddBo75	23	21	1260
evenBo7.oddBo31	43	65	348
evenBo46.oddBo93	4	3	323
evenBo38.oddBo22	12	74	858
evenBo39.oddBo27	11	69	453
evenBo38.oddBo52	12	44	403
evenBo37.oddBo33	13	63	804
evenBo45.oddBo92	5	4	843
evenBo28.oddBo38	22	58	874
evenBo34.oddBo65	16	31	1412
evenBo29.oddBo60	21	36	598
evenBo5.oddBo25	45	71	301
evenBo35.oddBo35	15	61	1341
evenBo34.oddBo50	16	46	1344
evenBo15.oddBo68	35	28	797
evenBo36.oddBo61	14	35	1232
evenBo40.oddBo59	10	37	2058
evenBo36.oddBo24	14	72	785
evenBo37.oddBo71	13	25	1300
evenBo5.oddBo72	45	24	126
evenBo47.oddBo81	3	15	814
evenBo8.oddBo61	42	35	618
evenBo42.oddBo72	8	24	1396
evenBo16.oddBo77	34	19	758
evenBo39.oddBo42	11	54	790
evenBo8.oddBo22	42	74	673
evenBo43.oddBo9	7	87	193
evenBo30.oddBo47	20	49	963
evenBo29.oddBo78	21	18	704
evenBo25.oddBo1	25	95	353
evenBo11.oddBo72	39	24	526
evenBo33.oddBo11	17	85	1006
evenBo24.oddBo54	26	42	996
evenBo15.oddBo58	35	38	915
evenBo33.oddBo36	17	60	626
evenBo29.oddBo21	21	75	755
evenBo40.oddBo46	10	50	882
evenBo27.oddBo74	23	22	979
evenBo7.oddBo52	43	44	542
evenBo35.oddBo14	15	82	912
evenBo45.oddBo61	5	35	831
evenBo11.oddBo56	39	40	578
evenBo28.oddBo77	22	19	532
evenBo23.oddBo40	27	56	631
evenBo25.oddBo59	25	37	1096
evenBo16.oddBo7	34	89	1342
evenBo48.oddBo62	2	34	774
evenBo25.oddBo75	25	21	904
evenBo38.oddBo46	12	50	1178
evenBo23.oddBo50	27	46	1360
evenBo33.oddBo89	17	7	572
evenBo6.oddBo47	44	49	667
evenBo2.oddBo56	48	40	396
evenBo42.oddBo65	8	31	562
evenBo34.oddBo66	16	30	708
evenBo22.oddBo9	28	87	672
evenBo42.oddBo33	8	63	1092
evenBo41.oddBo86	9	10	539
evenBo16.oddBo30	34	66	548
evenBo46.oddBo46	4	50	423
evenBo34.oddBo80	16	16	851
evenBo14.oddBo47	36	49	597
evenBo39.oddBo40	11	56	662
evenBo39.oddBo79	11	17	1378
evenBo21.oddBo43	29	53	635
evenBo42.oddBo58	8	38	1666
evenBo10.oddBo22	40	74	692
evenBo47.oddBo87	3	9	395
evenBo8.oddBo53	42	43	819
evenBo38.oddBo77	12	19	1331
evenBo36.oddBo67	14	29	892
evenBo4.oddBo58	46	38	747
evenBo13.oddBo89	37	7	78
evenBo34.oddBo84	16	12	1023
evenBo6.oddBo60	44	36	382
evenBo16.oddBo62	34	34	778
evenBo21.oddBo20	29	76	452
evenBo28.oddBo70	22	26	926
evenBo45.oddBo81	5	15	629
evenBo39.oddBo53	11	43	594
evenBo31.oddBo35	19	61	593
evenBo32.oddBo46	18	50	804
evenBo36.oddBo49	14	47	1258
evenBo30.oddBo51	20	45	837
evenBo40.oddBo13	10	83	782
evenBo15.oddBo54	35	42	600
evenBo1.oddBo55	49	41	195
evenBo39.oddBo38	11	58	623
evenBo34.oddBo30	16	66	1056
evenBo31.oddBo70	19	26	1608
evenBo41.oddBo58	9	38	2833
evenBo24.oddBo74	26	22	743
evenBo10.oddBo69	40	27	868
evenBo30.oddBo72	20	24	1901
evenBo35.oddBo63	15	33	2962
evenBo31.oddBo1	19	95	169
evenBo32.oddBo51	18	45	1186
evenBo20.oddBo48	30	48	956
evenBo23.oddBo90	27	6	221
evenBo38.oddBo50	12	46	1022
evenBo41.oddBo75	9	21	1030
evenBo18.oddBo3	32	93	316
evenBo15.oddBo66	35	30	835
evenBo47.oddBo89	3	7	886
evenBo2.oddBo57	48	39	672
evenBo28.oddBo86	22	10	692
evenBo2.oddBo34	48	62	612
evenBo36.oddBo75	14	21	2226
evenBo39.oddBo43	11	53	1059
evenBo40.oddBo25	10	71	853
evenBo39.oddBo24	11	72	699
evenBo46.oddBo62	4	34	570
evenBo46.oddBo43	4	53	607
evenBo41.oddBo64	9	32	953
evenBo38.oddBo20	12	76	987
evenBo13.oddBo71	37	25	642
evenBo47.oddBo91	3	5	681
evenBo3.oddBo31	47	65	103
evenBo31.oddBo62	19	34	1292
evenBo30.oddBo71	20	25	2359
evenBo30.oddBo58	20	38	307
evenBo17.oddBo55	33	41	690
evenBo44.oddBo79	6	17	275
evenBo37.oddBo47	13	49	894
evenBo16.oddBo74	34	22	1088
evenBo44.oddBo69	6	27	469
evenBo46.oddBo59	4	37	1005
evenBo7.oddBo41	43	55	459
evenBo31.oddBo67	19	29	1907
evenBo32.oddBo85	18	11	720
evenBo41.oddBo84	9	12	855
evenBo45.oddBo62	5	34	867
evenBo5.oddBo21	45	75	476
evenBo24.oddBo34	26	62	1048
evenBo46.oddBo67	4	29	1103
evenBo31.oddBo18	19	78	817
evenBo47.oddBo33	3	63	726
evenBo16.oddBo59	34	37	1392
evenBo27.oddBo87	23	9	472
evenBo34.oddBo49	16	47	1452
evenBo23.oddBo2	27	94	1083
evenBo28.oddBo68	22	28	1290
evenBo14.oddBo16	36	80	1217
evenBo26.oddBo83	24	13	1094
evenBo35.oddBo77	15	19	863
evenBo30.oddBo35	20	61	695
evenBo34.oddBo34	16	62	1096
evenBo48.oddBo89	2	7	1373
evenBo41.oddBo72	9	24	1221
evenBo32.oddBo13	18	83	771
evenBo19.oddBo56	31	40	582
evenBo15.oddBo8	35	88	912
evenBo3.oddBo27	47	69	116
evenBo17.oddBo50	33	46	643
evenBo38.oddBo64	12	32	1559
evenBo29.oddBo54	21	42	1553
evenBo9.oddBo40	41	56	488
evenBo16.oddBo41	34	55	639
evenBo7.oddBo61	43	35	659
evenBo47.oddBo41	3	55	317
evenBo25.oddBo56	25	40	705
evenBo48.oddBo65	2	31	818
evenBo34.oddBo69	16	27	1442
evenBo11.oddBo50	39	46	540
evenBo36.oddBo47	14	49	946
evenBo35.oddBo20	15	76	675
evenBo7.oddBo63	43	33	1557
evenBo31.oddBo59	19	37	1600
evenBo27.oddBo30	23	66	703
evenBo21.oddBo84	29	12	608
evenBo35.oddBo39	15	57	948
evenBo32.oddBo25	18	71	551
evenBo42.oddBo45	8	51	878
evenBo4.oddBo46	46	50	228
evenBo24.oddBo3	26	93	1561
evenBo37.oddBo44	13	52	1172
evenBo23.oddBo87	27	9	400
evenBo20.oddBo23	30	73	672
evenBo25.oddBo40	25	56	600
evenBo30.oddBo27	20	69	266
evenBo46.oddBo76	4	20	933
evenBo21.oddBo70	29	26	222
evenBo37.oddBo41	13	55	1148
evenBo6.oddBo56	44	40	526
evenBo33.oddBo6	17	90	400
evenBo35.oddBo9	15	87	329
evenBo21.oddBo75	29	21	798
evenBo23.oddBo58	27	38	1347
evenBo50.oddBo77	0	19	888
evenBo29.oddBo65	21	31	1493
evenBo47.oddBo84	3	12	394
