spot_id	x	y	legnum
evenBo33.oddBo57	17	39	60031
evenBo24.oddBo35	26	61	22102
evenBo14.oddBo61	36	35	151666
evenBo11.oddBo38	39	58	16387
evenBo18.oddBo60	32	36	28139
evenBo18.oddBo20	32	76	30239
evenBo14.oddBo29	36	67	62116
evenBo34.oddBo57	16	39	147237
evenBo33.oddBo56	17	40	6708
evenBo35.oddBo52	15	44	32111
evenBo33.oddBo61	17	35	56124
evenBo26.oddBo39	24	57	10256
evenBo45.oddBo54	5	42	9065
evenBo31.oddBo48	19	48	21655
evenBo34.oddBo15	16	81	7441
evenBo44.oddBo23	6	73	19734
evenBo20.oddBo51	30	45	18185
evenBo34.oddBo29	16	67	17232
evenBo40.oddBo63	10	33	65201
evenBo13.oddBo61	37	35	18356
evenBo42.oddBo41	8	55	14525
evenBo39.oddBo69	11	27	52814
evenBo24.oddBo64	26	32	28740
evenBo44.oddBo59	6	37	49977
evenBo21.oddBo67	29	29	33660
evenBo21.oddBo58	29	38	21333
evenBo20.oddBo5	30	91	704
evenBo34.oddBo52	16	44	38364
evenBo35.oddBo51	15	45	160752
evenBo30.oddBo67	20	29	52343
evenBo33.oddBo51	17	45	61505
evenBo40.oddBo60	10	36	60509
evenBo45.oddBo2	5	94	1192
evenBo28.oddBo51	22	45	111480
evenBo45.oddBo69	5	27	30290
evenBo42.oddBo27	8	69	6767
evenBo10.oddBo59	40	37	8599
evenBo35.oddBo66	15	30	53601
evenBo13.oddBo48	37	48	24377
evenBo14.oddBo53	36	43	131823
evenBo19.oddBo26	31	70	76303
evenBo30.oddBo25	20	71	5766
evenBo25.oddBo55	25	41	48876
evenBo7.oddBo35	43	61	16083
evenBo9.oddBo38	41	58	33369
evenBo43.oddBo44	7	52	11560
evenBo49.oddBo63	1	33	38797
evenBo28.oddBo67	22	29	26806
evenBo9.oddBo51	41	45	51423
evenBo36.oddBo67	14	29	45044
evenBo17.oddBo20	33	76	96584
evenBo24.oddBo53	26	43	77642
evenBo35.oddBo58	15	38	79624
evenBo7.oddBo22	43	74	4020
evenBo41.oddBo51	9	45	49187
evenBo41.oddBo67	9	29	54116
evenBo37.oddBo59	13	37	76196
evenBo30.oddBo58	20	38	37991
evenBo21.oddBo62	29	34	6036
evenBo50.oddBo63	0	33	11385
evenBo25.oddBo57	25	39	49937
evenBo38.oddBo39	12	57	11934
evenBo50.oddBo62	0	34	20643
evenBo31.oddBo44	19	52	34193
evenBo42.oddBo16	8	80	112233
evenBo21.oddBo69	29	27	18145
evenBo12.oddBo56	38	40	54795
evenBo47.oddBo18	3	78	11148
evenBo12.oddBo57	38	39	64896
evenBo50.oddBo70	0	26	17564
evenBo15.oddBo62	35	34	69454
evenBo34.oddBo51	16	45	99845
evenBo37.oddBo66	13	30	61132
evenBo39.oddBo33	11	63	3082
evenBo36.oddBo22	14	74	24097
evenBo46.oddBo21	4	75	35888
evenBo38.oddBo67	12	29	134641
evenBo29.oddBo28	21	68	23292
evenBo35.oddBo62	15	34	76614
evenBo23.oddBo66	27	30	60535
evenBo43.oddBo65	7	31	29547
evenBo49.oddBo67	1	29	11444
evenBo17.oddBo13	33	83	54978
evenBo33.oddBo68	17	28	89564
evenBo8.oddBo36	42	60	6844
evenBo10.oddBo49	40	47	5340
evenBo45.oddBo21	5	75	83553
evenBo27.oddBo56	23	40	67710
evenBo32.oddBo69	18	27	99328
evenBo20.oddBo64	30	32	5444
evenBo40.oddBo66	10	30	80784
evenBo29.oddBo63	21	33	40254
evenBo43.oddBo57	7	39	43756
evenBo46.oddBo66	4	30	2581
evenBo26.oddBo63	24	33	77824
evenBo34.oddBo66	16	30	61924
evenBo14.oddBo49	36	47	20778
evenBo38.oddBo58	12	38	127037
evenBo16.oddBo56	34	40	117486
evenBo50.oddBo60	0	36	20533
evenBo37.oddBo67	13	29	83814
evenBo13.oddBo63	37	33	23441
evenBo38.oddBo66	12	30	101038
evenBo33.oddBo45	17	51	19143
evenBo48.oddBo54	2	42	10289
evenBo35.oddBo9	15	87	34987
evenBo29.oddBo57	21	39	71879
evenBo42.oddBo54	8	42	74729
evenBo34.oddBo59	16	37	70989
evenBo26.oddBo67	24	29	79548
evenBo38.oddBo60	12	36	60413
evenBo14.oddBo58	36	38	169909
evenBo38.oddBo51	12	45	26800
evenBo23.oddBo58	27	38	170962
evenBo16.oddBo61	34	35	24426
evenBo38.oddBo53	12	43	37401
evenBo17.oddBo59	33	37	60629
evenBo38.oddBo14	12	82	76960
evenBo18.oddBo16	32	80	5658
evenBo37.oddBo61	13	35	111343
evenBo49.oddBo57	1	39	79213
evenBo22.oddBo43	28	53	34278
evenBo15.oddBo51	35	45	27979
evenBo35.oddBo65	15	31	34796
evenBo35.oddBo38	15	58	24757
evenBo18.oddBo53	32	43	109971
evenBo19.oddBo55	31	41	78892
evenBo39.oddBo22	11	74	7322
evenBo15.oddBo15	35	81	32569
evenBo11.oddBo57	39	39	28335
evenBo38.oddBo20	12	76	3206
evenBo26.oddBo47	24	49	46264
evenBo31.oddBo62	19	34	80343
evenBo8.oddBo69	42	27	1265
evenBo43.oddBo41	7	55	3459
evenBo48.oddBo22	2	74	20922
evenBo14.oddBo60	36	36	65569
evenBo21.oddBo55	29	41	53046
evenBo37.oddBo56	13	40	128138
evenBo21.oddBo53	29	43	63997
evenBo25.oddBo49	25	47	15224
evenBo25.oddBo50	25	46	10476
evenBo19.oddBo40	31	56	8521
evenBo7.oddBo40	43	56	16198
evenBo9.oddBo54	41	42	25500
evenBo41.oddBo58	9	38	82540
evenBo34.oddBo23	16	73	18152
evenBo39.oddBo59	11	37	57568
evenBo21.oddBo60	29	36	30276
evenBo38.oddBo29	12	67	7552
evenBo20.oddBo49	30	47	49544
evenBo33.oddBo69	17	27	64727
evenBo16.oddBo69	34	27	11804
evenBo17.oddBo43	33	53	48657
evenBo35.oddBo68	15	28	79685
evenBo14.oddBo48	36	48	38420
evenBo34.oddBo18	16	78	83455
evenBo44.oddBo37	6	59	6487
evenBo11.oddBo70	39	26	38058
evenBo34.oddBo16	16	80	66038
evenBo38.oddBo70	12	26	23477
evenBo36.oddBo16	14	80	32345
evenBo7.oddBo59	43	37	12999
evenBo20.oddBo67	30	29	42465
evenBo38.oddBo56	12	40	153665
evenBo47.oddBo55	3	41	10036
evenBo31.oddBo45	19	51	20211
evenBo22.oddBo65	28	31	65773
evenBo31.oddBo68	19	28	54692
evenBo23.oddBo69	27	27	25442
evenBo5.oddBo31	45	65	302
evenBo48.oddBo23	2	73	32626
evenBo18.oddBo57	32	39	63864
evenBo7.oddBo28	43	68	46017
evenBo26.oddBo58	24	38	61234
evenBo18.oddBo59	32	37	53024
evenBo28.oddBo70	22	26	37514
evenBo29.oddBo51	21	45	91768
evenBo24.oddBo62	26	34	43116
evenBo38.oddBo61	12	35	73766
evenBo14.oddBo66	36	30	7479
evenBo36.oddBo15	14	81	58736
evenBo25.oddBo60	25	36	28162
evenBo20.oddBo37	30	59	26958
evenBo21.oddBo51	29	45	36057
evenBo32.oddBo16	18	80	5467
evenBo37.oddBo35	13	61	27892
evenBo46.oddBo33	4	63	27733
evenBo31.oddBo46	19	50	20034
evenBo9.oddBo53	41	43	43728
evenBo14.oddBo36	36	60	31174
evenBo14.oddBo59	36	37	113740
evenBo25.oddBo58	25	38	55580
evenBo19.oddBo10	31	86	35213
evenBo20.oddBo23	30	73	23900
evenBo37.oddBo55	13	41	16555
evenBo39.oddBo70	11	26	28903
evenBo18.oddBo38	32	58	34054
evenBo15.oddBo60	35	36	47140
evenBo19.oddBo21	31	75	73829
evenBo30.oddBo65	20	31	78369
evenBo40.oddBo50	10	46	26358
evenBo19.oddBo22	31	74	64184
evenBo40.oddBo33	10	63	5775
evenBo29.oddBo53	21	43	102170
evenBo41.oddBo17	9	79	3799
evenBo45.oddBo20	5	76	237297
evenBo24.oddBo69	26	27	43715
evenBo35.oddBo67	15	29	43250
evenBo42.oddBo53	8	43	98462
evenBo42.oddBo59	8	37	36255
evenBo20.oddBo22	30	74	36992
evenBo49.oddBo21	1	75	7752
evenBo23.oddBo27	27	69	43068
evenBo42.oddBo67	8	29	48166
evenBo24.oddBo26	26	70	5265
evenBo40.oddBo70	10	26	14742
evenBo27.oddBo61	23	35	37026
evenBo15.oddBo56	35	40	77243
evenBo35.oddBo15	15	81	41388
evenBo6.oddBo28	44	68	1200
evenBo20.oddBo9	30	87	14057
evenBo42.oddBo25	8	71	13516
evenBo41.oddBo70	9	26	10363
evenBo34.oddBo17	16	79	92099
evenBo33.oddBo27	17	69	3382
evenBo26.oddBo38	24	58	9282
evenBo32.oddBo58	18	38	97329
evenBo35.oddBo34	15	62	31350
evenBo50.oddBo67	0	29	43722
evenBo24.oddBo43	26	53	30076
evenBo5.oddBo33	45	63	10297
evenBo24.oddBo59	26	37	42200
evenBo8.oddBo41	42	55	9851
evenBo46.oddBo43	4	53	42799
evenBo33.oddBo66	17	30	31091
evenBo35.oddBo54	15	42	43954
evenBo27.oddBo68	23	28	27919
evenBo37.oddBo70	13	26	24474
evenBo5.oddBo50	45	46	11987
evenBo37.oddBo69	13	27	76097
evenBo27.oddBo67	23	29	46315
evenBo12.oddBo55	38	41	34259
evenBo29.oddBo3	21	93	2199
evenBo45.oddBo34	5	62	24287
evenBo29.oddBo38	21	58	18570
evenBo44.oddBo20	6	76	191426
evenBo29.oddBo55	21	41	44873
evenBo25.oddBo56	25	40	90748
evenBo45.oddBo28	5	68	10985
evenBo42.oddBo44	8	52	24988
evenBo17.oddBo55	33	41	59060
evenBo48.oddBo60	2	36	12219
evenBo13.oddBo55	37	41	17959
evenBo6.oddBo38	44	58	6828
evenBo16.oddBo28	34	68	20102
evenBo42.oddBo62	8	34	28528
evenBo21.oddBo47	29	49	28325
evenBo22.oddBo22	28	74	5110
evenBo36.oddBo30	14	66	11497
evenBo31.oddBo20	19	76	5936
evenBo28.oddBo69	22	27	48137
evenBo16.oddBo55	34	41	69583
evenBo48.oddBo28	2	68	70114
evenBo24.oddBo63	26	33	52195
evenBo43.oddBo19	7	77	7660
evenBo42.oddBo23	8	73	15498
evenBo14.oddBo28	36	68	29139
evenBo10.oddBo44	40	52	6018
evenBo30.oddBo62	20	34	67733
evenBo8.oddBo52	42	44	22834
evenBo45.oddBo26	5	70	4549
evenBo40.oddBo64	10	32	51971
evenBo36.oddBo63	14	33	80125
evenBo29.oddBo37	21	59	15687
evenBo48.oddBo32	2	64	8603
evenBo8.oddBo54	42	42	10584
evenBo24.oddBo49	26	47	32918
evenBo31.oddBo63	19	33	172701
evenBo11.oddBo20	39	76	7155
evenBo18.oddBo56	32	40	78590
evenBo48.oddBo20	2	76	38784
evenBo14.oddBo37	36	59	53020
evenBo18.oddBo22	32	74	58644
evenBo32.oddBo67	18	29	138994
evenBo22.oddBo63	28	33	24961
evenBo20.oddBo44	30	52	13909
evenBo19.oddBo48	31	48	25992
evenBo25.oddBo51	25	45	56593
evenBo38.oddBo69	12	27	106814
evenBo43.oddBo26	7	70	8726
evenBo42.oddBo61	8	35	24365
evenBo35.oddBo37	15	59	61616
evenBo34.oddBo67	16	29	85989
evenBo9.oddBo37	41	59	30222
evenBo40.oddBo21	10	75	49013
evenBo5.oddBo52	45	44	8201
evenBo47.oddBo22	3	74	28903
evenBo18.oddBo21	32	75	67981
evenBo48.oddBo69	2	27	34297
evenBo36.oddBo21	14	75	15384
evenBo38.oddBo45	12	51	12741
evenBo45.oddBo18	5	78	40842
evenBo29.oddBo68	21	28	13093
evenBo35.oddBo16	15	80	123084
evenBo16.oddBo57	34	39	64671
evenBo2.oddBo27	48	69	893
evenBo28.oddBo50	22	46	19270
evenBo34.oddBo19	16	77	18426
evenBo41.oddBo63	9	33	136484
evenBo46.oddBo70	4	26	24770
evenBo24.oddBo68	26	28	39303
evenBo22.oddBo35	28	61	11276
evenBo13.oddBo64	37	32	3249
evenBo24.oddBo36	26	60	11984
evenBo26.oddBo69	24	27	35629
evenBo27.oddBo65	23	31	39006
evenBo30.oddBo57	20	39	42449
evenBo42.oddBo18	8	78	2048
evenBo7.oddBo41	43	55	8928
evenBo23.oddBo53	27	43	140662
evenBo28.oddBo57	22	39	55202
evenBo27.oddBo58	23	38	61353
evenBo28.oddBo41	22	55	6249
evenBo6.oddBo64	44	32	976
evenBo16.oddBo22	34	74	21472
evenBo35.oddBo61	15	35	57814
evenBo38.oddBo27	12	69	10014
evenBo7.oddBo46	43	50	34785
evenBo40.oddBo56	10	40	33061
evenBo19.oddBo35	31	61	8555
evenBo40.oddBo65	10	31	27163
evenBo32.oddBo63	18	33	82603
evenBo46.oddBo24	4	72	15352
evenBo17.oddBo51	33	45	34463
evenBo18.oddBo62	32	34	8773
evenBo4.oddBo46	46	50	20254
evenBo22.oddBo24	28	72	9746
evenBo18.oddBo30	32	66	16667
evenBo48.oddBo27	2	69	7902
evenBo7.oddBo53	43	43	6642
evenBo19.oddBo57	31	39	99005
evenBo15.oddBo68	35	28	3989
evenBo32.oddBo8	18	88	18880
evenBo19.oddBo60	31	36	44655
evenBo32.oddBo65	18	31	75848
evenBo32.oddBo68	18	28	50516
evenBo19.oddBo14	31	82	2441
evenBo30.oddBo37	20	59	21837
evenBo22.oddBo23	28	73	9881
evenBo21.oddBo66	29	30	16228
evenBo49.oddBo25	1	71	10952
evenBo22.oddBo54	28	42	79776
evenBo42.oddBo36	8	60	9751
evenBo14.oddBo63	36	33	33983
evenBo50.oddBo65	0	31	6897
evenBo30.oddBo70	20	26	14812
evenBo31.oddBo51	19	45	73161
evenBo15.oddBo57	35	39	121949
evenBo17.oddBo39	33	57	4560
evenBo41.oddBo31	9	65	22806
evenBo26.oddBo31	24	65	11583
evenBo29.oddBo58	21	38	44492
evenBo50.oddBo57	0	39	5859
evenBo47.oddBo33	3	63	19479
evenBo15.oddBo37	35	59	10702
evenBo27.oddBo36	23	60	15870
evenBo26.oddBo42	24	54	12222
evenBo39.oddBo54	11	42	12091
evenBo44.oddBo29	6	67	33492
evenBo19.oddBo53	31	43	121500
evenBo38.oddBo37	12	59	15862
evenBo15.oddBo55	35	41	19619
evenBo25.oddBo63	25	33	38556
evenBo19.oddBo49	31	47	22302
evenBo33.oddBo1	17	95	1070
evenBo41.oddBo36	9	60	14417
evenBo35.oddBo23	15	73	20144
evenBo35.oddBo25	15	71	11493
evenBo32.oddBo49	18	47	14967
evenBo28.oddBo53	22	43	109009
evenBo34.oddBo8	16	88	28680
evenBo45.oddBo33	5	63	12545
evenBo13.oddBo50	37	46	16747
evenBo33.oddBo21	17	75	26195
evenBo43.oddBo61	7	35	9614
evenBo31.oddBo32	19	64	5123
evenBo7.oddBo49	43	47	14928
evenBo41.oddBo37	9	59	23349
evenBo22.oddBo70	28	26	18072
evenBo35.oddBo45	15	51	25957
evenBo28.oddBo54	22	42	98583
evenBo21.oddBo70	29	26	5684
evenBo43.oddBo63	7	33	25117
